"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cdh22",185.667102452753,2.88985675545507,0.147066467936355,19.6500044912052,5.78077370800435e-86,7.41846689948198e-82
"Cpxm2",489.011017676963,2.78922597258183,0.142714696298193,19.5440697064156,4.63361908275089e-85,2.97316168444711e-81
"Ano5",122.052752442339,5.36637928888214,0.343525898560038,15.621469331356,5.19935107241739e-55,2.22410907707775e-51
"Klk1b26",44.3879374831237,3.82908655430351,0.254517183371346,15.0445109582908,3.75095240984725e-51,1.20339930688924e-47
"Comt",8776.38072128707,1.77637007923213,0.119244983896123,14.8968117667706,3.45685465683859e-50,8.87236316224193e-47
"Mal",828.220048450734,2.60245758477171,0.175703154248869,14.8116725388181,1.2313776437859e-49,2.63371155045073e-46
"Amy1",464.812035123345,2.21517699651961,0.150684996293696,14.7007137472537,6.37838487766718e-49,1.16934018764433e-45
"Frem2",218.398090679516,-2.37299218808781,0.162756185739236,-14.5800430091779,3.76279592067869e-48,6.0359950062587e-45
"Skap2",530.418401969797,1.07011918293387,0.0739215505544294,14.4764168893607,1.70770098547319e-47,2.43499186073083e-44
"Gpr84",38.7785828555158,-3.65357867825592,0.258901007084166,-14.1118751116645,3.20929620590774e-45,4.1184898210414e-42
"Ndrg4",4798.00817393785,-1.46835677693444,0.104471693963518,-14.0550681359412,7.17128606722838e-45,8.36628310006744e-42
"Aqp4",281.338086150559,-2.80208186191555,0.207418592916221,-13.5093089897074,1.37808859811783e-41,1.4737509149705e-38
"Tdrp",113.12780304656,1.85584964314959,0.138565336913945,13.393318159376,6.61577384578017e-41,6.53078659714591e-38
"Slc38a1",437.950709503297,-1.65531514155392,0.125304488048021,-13.2103420024313,7.64761687416054e-40,7.01013338186444e-37
"Mgst1",3290.7219656671,1.34044532472614,0.10370583701951,12.9254568812166,3.23370016320609e-38,2.76653827962825e-35
"Epop",63.3497408601428,-2.1847963020752,0.173503555761952,-12.5922278219632,2.33003043188244e-36,1.86883003327171e-33
"Cdh4",114.605271641768,2.54642090583712,0.20405833306998,12.4788871276521,9.73375880278719e-36,7.34784274800988e-33
"Pde11a",22.7355395387823,3.73512049096809,0.304195983048775,12.2786647395314,1.17928517283035e-34,8.40764812385103e-32
